topic0,dollar,new,york,street,tim,of,wall,weltweit,firma,bundesstaat,wert,sach,reich,vereinigt,the,kaliforni,washington,amerika,cent,berichtet,goldman,firm,global,sec,group,journal,los,manag,gehort,zufolg,world,milliardar,corp,bloomberg,vermog,nam,america,insgesamt,american,verdient,inc,ge,zahlt,morgan,financial,investor,and,murdoch,foto,disney,angel,verlor,news,investmentbank,geschicht,chicago,at,san,zusamm,boston,gegrundet,fuhrend,septemb,je,gehor,magazin,vergleich,borsenaufsicht,ging,schrieb,setzt,darunt,texas,list,city,general,summ,sri,kauft,lynch,weltgrosst,buffett,pro,zuvor,bill,trad,analyst,tamil,first,stanley,merrill,co,deal,verkauft,francisco,inzwisch,nachd,offenbar,ausserd,teilt
 ,0.144,0.043,0.042,0.018,0.012,0.011,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic6,polizei,anschlag,verletzt,polizist,getotet,tot,terrorist,attentat,tat,prot,demonstrant,mann,grupp,gewalt,stadt,festgenomm,terror,demonstration,behord,opf,mindest,berichtet,schwer,beamt,nacht,mutmass,samstag,islamist,qaida,leb,erschoss,entfuhr,tod,sicherheitskraft,gekomm,bomb,strass,nah,angriff,hauptstadt,hundert,ums,starb,gewalttat,innenminist,afp,uberfall,explosion,ap,algeri,verdacht,waff,mord,aktion,lad,mitglied,geiseln,entfuhrt,extremist,offenbar,tausend,unruh,donnerstag,zufolg,gebaud,anhang,unbekannt,verantwort,ausland,bewaffnet,festnahm,gefahr,gefund,zunach,terroranschlag,verubt,jugend,botschaft,terrorismus,bombenanschlag,kundgeb,innenministerium,teilt,dutzend,leich,wochen,versucht,stund,schuss,sprengstoff,jahrig,explodiert,vorfall,vermut,nahm,mitteilt,person,angehor,ausschreit,sech
 ,0.029,0.02,0.013,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic7,ubernahm,verkauf,konz,anteil,fusion,aktionar,beteil,akti,konzern,angebot,partn,investor,ubernehm,tocht,thyss,zusammenschluss,konkurrent,allianz,finanzinvestor,beteiligt,krupp,interess,grupp,einstieg,verkauft,grossaktionar,mannesmann,firm,dusseldorf,franzos,strateg,mehrheit,erwerb,plan,management,hochtief,ubernomm,eigentum,holding,offert,firma,hauptversamml,interessiert,zukauf,interessent,kaufpreis,gesellschaft,bors,kartellamt,vodafon,spart,vorstandschef,telecom,teilt,transaktion,woll,ubernimmt,deal,wert,gehort,niederland,franc,anteilseign,hiess,gebot,zuletzt,knapp,britisch,ubernahmeangebot,zusamm,zweitgrosst,spekulation,trenn,bundeskartellamt,borsengang,schritt,ess,privatisier,zufolg,stahl,zustimm,offenbar,wettbewerb,kauft,aktivitat,mobilcom,konsortium,besitz,gehor,biet,gerucht,group,preis,gemeinsam,strategi,angekundigt,numm,option,viag,feindlich
 ,0.029,0.022,0.022,0.019,0.015,0.015,0.014,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic8,kris,ezb,zentralbank,notenbank,wahrung,zins,bundesbank,iwf,okonom,finanzmarkt,inflation,wahrungsunion,geldpolit,finanzkris,zon,dollar,niedrig,wachstum,folg,gefahr,fed,staatsanleih,wahrungsfond,rezession,schwach,konjunktur,rat,sorg,vertrau,volkswirtschaft,kurzfrist,kur,stabil,schnell,expert,weltwirtschaft,finanzminist,kredit,druck,risik,bank,wirtschaftspolit,stabilitat,draghi,langfrist,preis,anleih,schwellenland,global,billig,europas,schuldenkris,massnahm,spani,itali,hoch,schritt,reserv,unsich,frankfurt,leitzins,wert,problem,schein,warnt,steig,investor,eurozon,trichet,zuletzt,weltbank,tief,inflationsrat,portugal,einfuhr,erwart,griechenland,greenspan,schuld,finanz,entwickl,zinssenk,leitzin,kauf,bleib,steigend,abwert,dah,irland,billion,erhoh,rettungsschirm,massiv,angst,sollt,davos,notenbankchef,furcht,raum,spar
 ,0.02,0.017,0.014,0.013,0.011,0.011,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic9,gericht,klag,urteil,karlsruh,verfahr,entschied,jurist,gesetz,darf,bundesverfassungsgericht,durf,gerichtshof,anwalt,anspruch,antrag,verstoss,bgh,rechtlich,verbot,streit,betroff,geltend,begrund,grundsatz,beschluss,behord,oberst,beschwerd,zulass,verfassungsgericht,schutz,senat,zustand,gutacht,bundesgerichtshof,grundgesetz,landgericht,beruf,gesetzgeb,eingereicht,pruf,bestatigt,az,erlaubt,instanz,entschad,regel,verpflichtet,schadenersatz,ansicht,verlangt,kassel,verfassungswidr,richt,eugh,wies,grundrecht,rechtsanwalt,begrundet,burg,argumentiert,untersagt,verwaltungsgericht,klagt,damal,geklagt,oberlandesgericht,artikel,sach,auffass,verletz,zahlung,prufung,unzulass,gelt,rechtsstreit,kamm,pflicht,einstweil,verlang,entsprech,urteilt,verklagt,erheb,ging,staatlich,vorschrift,verfug,schad,beantragt,rechtswidr,bestimmt,verfassungsricht,praxis,sah,rechtsprech,schadensersatz,dah,hoch,konkret
 ,0.025,0.024,0.021,0.013,0.012,0.012,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic10,ja,wort,buch,gar,vielleicht,sag,natur,lieb,geschicht,wirklich,satz,wiss,leb,les,namlich,nam,wohl,gern,mag,streiflicht,warum,nie,lasst,art,sach,red,beispiel,eben,eigent,gewiss,all,einfach,jedenfall,autor,wahrheit,leid,oft,sinn,bos,geschrieb,gesagt,ding,ubrig,tun,gleich,richtig,gott,darf,denk,paar,begriff,aug,bitt,bild,freilich,eher,wahr,manchmal,herr,schreib,kopf,tut,genau,bloss,uberhaupt,tat,darin,ewig,klingt,verstand,herz,schrieb,jemand,leicht,mocht,heiss,hort,lach,wund,gerad,gehort,schreibt,text,gedank,echt,je,mog,versteh,vergess,ahnlich,geist,daran,her,bissch,gluck,findet,wusst,nein,fragt,endlich
