topic0,dollar,new,york,street,tim,of,wall,weltweit,firma,bundesstaat,wert,sach,reich,vereinigt,the,kaliforni,washington,amerika,cent,berichtet,goldman,firm,global,sec,group,journal,los,manag,gehort,zufolg,world,milliardar,corp,bloomberg,vermog,nam,america,insgesamt,american,verdient,inc,ge,zahlt,morgan,financial,investor,and,murdoch,foto,disney,angel,verlor,news,investmentbank,geschicht,chicago,at,san,zusamm,boston,gegrundet,fuhrend,septemb,je,gehor,magazin,vergleich,borsenaufsicht,ging,schrieb,setzt,darunt,texas,list,city,general,summ,sri,kauft,lynch,weltgrosst,buffett,pro,zuvor,bill,trad,analyst,tamil,first,stanley,merrill,co,deal,verkauft,francisco,inzwisch,nachd,offenbar,ausserd,teilt
 ,0.022,0.014,0.011,0.01,0.01,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic16,gesetz,bundesregier,bundestag,vorschlag,reform,plan,entwurf,zustimm,regel,durf,bundesrat,beschloss,abgeordnet,verabschiedet,fordert,gesetzentwurf,regeln,mehrheit,kritisiert,entsprech,berat,umstritt,forder,widerstand,lehnt,kritik,parlament,schutz,antrag,beschluss,schily,grundsatz,minist,sollt,vorgelegt,ausserd,abstimm,kompromiss,vorhab,initiativ,vorgeseh,notwend,stimmt,massnahm,einfuhr,gelt,gefordert,vorstoss,bund,ausschuss,debatt,verhind,verabschied,enthalt,bedenk,umsetz,union,kabinett,ablehn,zustand,abgelehnt,papi,scharf,verlangt,vorschrift,ford,suddeutsch,tret,verscharf,bisher,streit,gremium,ziel,vorlag,donnerstag,ministerium,abschaff,umfass,kontroll,parlamentar,lehn,besteh,notig,richtlini,sogenannt,darub,einzeln,spd,durchsetz,bislang,arbeitsgrupp,streng,grundgesetz,geltend,konzept,begrusst,kundigt,burg,vorleg,punkt
 ,0.036,0.016,0.014,0.013,0.013,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic17,sz,ja,sag,warum,tun,einfach,leut,natur,richtig,gerad,seh,wiss,gar,beispiel,nein,wirklich,glaub,genau,eigent,vielleicht,brauch,probl,oft,interview,gemacht,red,uberhaupt,schnell,bekomm,find,nie,ding,braucht,gesagt,eben,denk,jemand,schlecht,herr,trotzd,darub,daran,mocht,gern,sach,darum,niemand,ide,thema,nehm,darf,schwierig,falsch,lieb,passiert,genug,versteh,gleich,wann,manchmal,leb,problem,angst,fehl,antwort,paar,stimmt,eher,bleib,best,helf,job,erfahr,leid,kolleg,schwer,funktioniert,irgendwann,sollt,kenn,klingt,ziemlich,los,and,sorg,geword,moment,liegt,damal,fragt,wollt,schaff,lauft,wohl,bring,schau,tut,desweg,gefuhl,bissch
 ,0.048,0.024,0.015,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic18,finanzminist,bund,griechenland,haushalt,hilf,schuld,griechisch,staatlich,ath,ausgab,bundesregier,finanziell,zusatz,mittel,eichel,defizit,programm,schaubl,forder,kommend,plan,kredit,finanzier,minist,bundesfinanzminist,insgesamt,spar,summ,investition,waigel,etat,unterstutz,kost,einnahm,steinbruck,finanzministerium,reform,ziel,verfug,finanzi,finanziert,fordert,kurzung,griech,massnahm,angesicht,einspar,erhoh,budget,subvention,laufend,helf,notig,jahrlich,finanz,beschloss,privat,fliess,vorgeseh,notwend,neuverschuld,erfull,weltbank,arm,ford,glaubig,lieg,gefordert,entwicklungshilf,betrag,ausgegeb,bekomm,reich,zuschuss,erreich,dringend,zahlung,steuerzahl,abbau,privatisier,steuereinnahm,finanzhilf,wirtschaftsminist,knapp,zugesagt,bundeshaushalt,ausgeb,stabilitatspakt,finanzpolit,sparpaket,bislang,ministerium,trotz,tsipras,sollt,verlangt,verschuld,leist,paket,drastisch
 ,0.019,0.016,0.016,0.014,0.014,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic19,pol,opf,polnisch,jud,histor,warschau,geschicht,ehemal,judisch,weltkrieg,damal,sudafrika,sinn,afrika,afrikan,thailand,ns,holocaust,jahrestag,entschad,nordirland,leb,nazi,hitl,fein,rumani,sudafrikan,gestorb,mugab,simbabw,rot,irisch,regim,uberleb,mitglied,kommunist,vertret,vorsitz,zwangsarbeit,vertrieb,erinner,mind,vertreib,besuch,national,verbrech,nam,nazis,protestant,ruman,gedenk,krieg,tod,versohn,fried,nigeria,stiftung,symbol,organisation,auschwitz,erinnert,fuhr,angehor,roma,verantwort,bangkok,zentrum,schwarz,antisemit,tausend,zentralrat,antisemitismus,demokrati,gehort,ausland,offiziell,volk,gedenkstatt,tot,kaczynski,gekomm,mandela,heutig,belfast,sprach,anc,kampf,republ,vietnam,red,gedacht,nationalsozialist,mai,anlass,gemeind,grab,gerecht,widerstand,bevolker,prot
 ,0.019,0.012,0.012,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic20,behord,ermittl,verdacht,information,affar,vorwurf,staatsanwaltschaft,untersuch,geheimdien,angeb,offenbar,skandal,mitarbeit,damal,ermittelt,illegal,dat,person,hinweis,aufklar,nam,dokument,beamt,untersuchungsausschuss,ausschuss,bnd,akt,unterlag,auftrag,geheim,informiert,spend,list,berichtet,korruption,betrug,ehemal,verfassungsschutz,erkenntnis,dien,anfrag,ex,intern,steuerhinterzieh,pruf,falsch,bestatigt,kriminell,vorgang,zusammenhang,cia,laut,zustand,mail,kont,wiss,bka,journalist,kontroll,gegeb,liechtenstein,inzwisch,schad,agent,vertraulich,geldwasch,durchsuch,nsa,material,veroffentlicht,kontakt,staatsanwalt,ministerium,gewusst,aussag,untersucht,eingeleitet,firma,verfahr,ausland,betroff,uberpruf,verstoss,auskunft,anonym,beleg,zahlung,gefalscht,uberwach,detail,veroffentlich,anzeig,handelt,durchsucht,geword,fahnd,gerat,bestech,firm,dubios
 ,0.015,0.013,0.012,0.011,0.009,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic21,kund,vertrag,versicher,versich,allianz,kost,miet,wohnung,privat,anbiet,angebot,gebuhr,schad,gunstig,verbrauch,spar,berat,immobili,versichert,lebensversicher,zahlt,ruck,pro,bezahl,oft,verbraucherschutz,preis,betrag,teur,rat,sollt,haus,kart,verbraucherzentral,prami,zins,vermiet,tarif,rechnung,beispiel,gesellschaft,regel,konto,niedrig,polic,biet,haufig,je,beispielsweis,re,bezahlt,summ,verlang,abgeschloss,koln,provision,vergleich,kostet,bietet,ausserd,teu,durchschnitt,zusatz,uberweis,kostenlos,mindest,bekomm,automat,ergo,verkauf,liegt,branch,nutz,kundig,genau,leb,bundesverband,kreditkart,beitrag,produkt,vermittl,gleich,verband,acht,leistung,de,wohn,billig,stiftung,gering,makl,kondition,direkt,hoch,lieg,dah,finanziell,zahlung,bekommt,bausparkass
 ,0.029,0.012,0.012,0.011,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic22,lufthansa,flugzeug,flughaf,airbus,fluggesellschaft,air,maschin,airlin,flug,frankfurt,boeing,ead,reis,tui,pilot,passagi,auftrag,hotel,flieg,tourist,luft,start,werft,lloyd,airways,british,hamburg,bord,gesellschaft,jet,kost,cook,franc,bislang,angebot,sitz,konkurrent,partn,dasa,tourismus,luftfahrt,ryanair,reiseveranstalt,branch,ziel,flott,dubai,billig,bestellt,hapag,alitalia,vulkan,schiff,beteiligt,absturz,streck,anbiet,united,satellit,fluglini,reederei,klm,bestell,zufolg,ltu,zusatz,fraport,programm,laut,sech,gast,neb,kund,delta,konkurrenz,airport,kommend,veranstalt,luftverkehr,raumfahrt,emirat,projekt,fliegt,ba,mtu,reiseburos,ausserd,insgesamt,bau,verbind,tocht,kapazitat,flugzeugbau,konsortium,cockpit,reisend,system,typ,swiss,zunach
 ,0.021,0.015,0.015,0.014,0.014,0.012,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic23,gewerkschaft,arbeitgeb,beschaftigt,arbeitslos,metall,ig,arbeitnehm,betrieb,verdi,streik,job,lohn,stund,hartz,arbeitsplatz,arbeitsmarkt,mindestlohn,iv,dien,dgb,beschaft,tarifvertrag,gehalt,fordert,arbeitszeit,angestellt,forder,vorsitz,sozial,angebot,ba,branch,arbeitslosengeld,mitarbeit,mitglied,handwerk,betriebsrat,bundesagentur,bezahlt,bundesanstalt,arbeitgeberverband,verband,abschluss,ford,bezahl,regel,bundnis,vereinbar,tarifverhandl,langzeitarbeitslos,bdi,gewerkschaftsbund,befristet,warnstreik,tarif,leistung,vereinbart,arbeitsamt,empfang,betroff,beamt,erhoh,arbeitskampf,gefordert,leiharbeit,flexibl,tarifrund,sollt,sech,bekomm,bau,ii,clement,kundigungsschutz,schaff,zusatz,uberstund,druck,industri,arbeitsbeding,hundt,statt,gelt,kundig,ausserd,chemi,lohnerhoh,zwickel,gleich,firm,voll,verhandl,mitbestimm,verlangt,tatig,arbeitsmarktpolit,reform,niedrig,tarifabschluss,otv
 ,0.038,0.02,0.019,0.018,0.014,0.014,0.014,0.013,0.012,0.012,0.011,0.011,0.01,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
topic24,statist,institut,vergleich,gestieg,wachstum,durchschnitt,entwickl,studi,erwartet,ruckgang,industri,erwart,anstieg,gegenub,niedrig,konjunktur,export,umfrag,befragt,positiv,leicht,aufschwung,prognos,trotz,plus,insgesamt,gering,hoch,knapp,bundesamt,ausland,gesunk,rechn,schlecht,erreicht,branch,rechnet,expert,wert,einschatz,vorjahr,zunehm,steig,arbeitslos,anteil,steigend,verband,trend,stieg,laut,kommend,schwach,liegt,kraftig,wiesbad,lieg,folg,drittel,arbeitsmarkt,nachfrag,niveau,ifo,bruttoinlandsprodukt,zufolg,optimist,zeigt,wirtschaftsforsch,firm,investition,real,oecd,ging,sech,minus,wirtschaftswachstum,erstmal,zuwach,schnitt,halft,prozentpunkt,inland,dat,gewerb,verbrauch,quartal,zuruckgegang,anhalt,erheb,rezession,erhol,zunahm,konjunkturell,sank,weiterhin,ausfuhr,auftrag,erhoht,wach,langsam,zuletzt
 ,0.012,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic25,soldat,militar,einsatz,kampf,afghanistan,trupp,bundeswehr,arme,rebell,krieg,pakistan,taliban,nato,verteidigungsminist,afghan,angriff,waff,streitkraft,general,un,hauptstadt,sud,kabul,nord,liby,aufstand,verteidigungsministerium,miliz,getotet,stadt,grenz,hilf,zivilist,region,mission,burgerkrieg,unterstutz,nation,einheit,zivil,afrika,abzug,konflikt,ruanda,offizi,operation,vereint,mann,kongo,provinz,helf,offensiv,gefecht,sudan,panz,schutz,afrikan,stationiert,wehrpflicht,gaddafi,gebiet,somalia,mandat,schwer,mindest,eingesetzt,tot,hilfsorganisation,bevolker,verbundet,libysch,kilomet,ziel,ruh,luftwaff,humanitar,stutzpunkt,bewaffnet,berichtet,fried,kommandeur,leb,entsend,karsai,beteil,westlich,musharraf,nah,fluchtling,islamabad,hubschraub,isaf,luftangriff,west,regim,ausland,kontroll,drohn,ums,nachbarland
 ,0.029,0.017,0.017,0.016,0.016,0.014,0.013,0.013,0.011,0.01,0.01,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
topic26,internet,telekom,nutz,comput,kund,onlin,gerat,googl,digital,netz,microsoft,appl,softwar,dat,anbiet,facebook,start,elektron,mobil,handy,dien,it,schnell,firma,smartphon,technik,mail,firm,pc,netzwerk,sap,herstell,angebot,programm,konz,amazon,information,ibm,technologi,weltweit,nokia,produkt,plattform,technisch,zugang,system,handys,konkurrent,intel,telefon,servic,app,sony,yahoo,branch,mobilfunk,up,ups,rechn,com,iphon,konzern,wettbewerb,konkurrenz,windows,twitt,entwickelt,bislang,syst,telekommunikation,samsung,anschluss,pro,hack,valley,virtuell,inhalt,bietet,dienstleist,silicon,werbung,anwend,inzwisch,dell,entwickl,ebay,nam,kabel,numm,kostenlos,mobiltelefon,nachricht,bildschirm,datenschutz,portal,minut,web,umt,lizenz,einfach
 ,0.028,0.018,0.012,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001
topic27,umsatz,ergebnis,quartal,konz,verlust,erwartet,vorjahr,stieg,laufend,halbjahr,plus,geschaftsjahr,steu,operativ,erzielt,trotz,erwart,dritt,positiv,rechnet,wachstum,steig,gestieg,erhoht,erreicht,neun,analyst,knapp,minus,bereich,prognos,spart,sech,legt,kraftig,viert,weltweit,bilanz,schwach,leicht,insgesamt,verbessert,gesamtjahr,teilt,gesteigert,vorstandschef,ertrag,akti,dank,verbucht,erreich,gegenub,verdient,erlos,abgelauf,ziel,sank,erstmal,marktanteil,divid,abschreib,uberschuss,vergleich,steigert,vorjahreszeitraum,je,zweistell,konzern,erwirtschaftet,entwickl,wachs,zuvor,schwierig,septemb,verzeichnet,profitiert,nachfrag,lieg,erneut,belast,ruckgang,gerechnet,belastet,verkauf,fiel,zwolf,absatz,ging,gesunk,sieb,negativ,zuversicht,dennoch,zins,verdoppelt,zufried,acht,strich,betriebsergebnis,wuch
 ,0.033,0.026,0.023,0.016,0.015,0.014,0.013,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic28,suddeutsch,verlag,vorbehalt,gmbh,de,schweiz,onlin,frank,feu,zurich,spring,ausland,press,blatt,kanada,grupp,berichtet,kanad,alp,blick,magazin,bild,laut,sieb,allgemein,kap,schweizer,schreibt,bern,gegenub,teilt,verleg,tageszeit,journalist,ausserd,gelehr,oktob,hoch,client,mitteilt,bleib,stellt,zusamm,zeitschrift,gehor,medi,sech,hiess,person,europaich,bestatigt,entsprech,auflag,zunach,woll,ebenfall,nachd,insgesamt,beteiligt,klink,elf,erschein,gemacht,besteh,trotz,innerhalb,gestresst,gehort,anzeig,neb,seit,zufolg,weiterhin,sarrazin,fuhrend,grossist,gegeb,chefredakteur,scharfsinn,fest,dritt,bezeichnet,nah,kanadi,buch,treuhand,kommentiert,hai,verfug,setzt,ledig,lieg,gesamt,gebracht,zurch,bleibt,gleichzeit,gefuhrt,jeweil,statt
 ,0.03,0.026,0.022,0.02,0.019,0.019,0.019,0.011,0.009,0.009,0.008,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic29,frau,kind,famili,mann,vat,leb,mutt,elt,sohn,jahrig,ehe,paar,haus,beruf,oft,brud,tocht,lebt,gebor,madch,gesellschaft,arm,arbeitet,generation,tod,reich,person,erb,jugend,bekomm,gleich,geburt,haufig,erwachs,weiblich,gemeinsam,dritt,partn,gehort,ging,schwest,sech,verheiratet,sexuell,mannlich,ley,verwandt,homosexuell,zusamm,armut,betreu,bezieh,ehefrau,inzwisch,damal,nam,schwer,zeigt,wunsch,freund,nie,acht,ministerin,bleib,foto,unterhalt,stellt,liegt,danach,erzahlt,tun,geword,nehm,fest,erfahr,erzieh,gerad,quot,lieb,ehemann,senior,selt,geschlecht,bekam,find,kumm,bleibt,karri,fuhrt,enkel,chefin,zwolf,geburtstag,halft,schwul,verstorb,mocht,studiert,anspruch,einzig
 ,0.063,0.052,0.035,0.03,0.019,0.018,0.014,0.013,0.012,0.01,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic30,franzos,irak,frankreich,paris,washington,bush,obama,clinton,republikan,trump,demokrat,georg,bagdad,haus,kongress,sarkozy,krieg,saddam,amerika,barack,chirac,holland,le,donald,senat,senator,bill,weiss,national,amerikas,de,hussein,françois,jacqu,wahlkampf,obamas,macron,vereinigt,trumps,reprasentantenhaus,front,konservativ,hillary,sozialist,pen,afp,premierminist,aussenpolit,jospin,red,nation,novemb,unterstutz,berat,la,mccain,amtszeit,bundesstaat,kerry,kandidat,botschaft,vizeprasident,verbundet,nah,kampf,mond,gor,link,staatsprasident,romney,roll,plan,gouverneur,freund,widerstand,prasidentschaft,beginn,mitterrand,wahl,sieg,prasidentschaftskandidat,bezieh,rumsfeld,mitt,schiit,juppé,gegenub,post,ex,vorwahl,versucht,fuhr,zugleich,powell,reagan,villepin,sprach,hingeg,dominiqu,nationalversamml
 ,0.047,0.042,0.039,0.037,0.026,0.023,0.018,0.017,0.016,0.015,0.011,0.011,0.01,0.01,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic31,iran,un,indi,nordkorea,diplomat,sanktion,teheran,aussenminist,botschaft,washington,sicherheitsrat,nation,vereint,indisch,prag,tschechisch,resolution,regim,bezieh,sudkorea,seoul,irak,genf,pjongjang,generalsekretar,annan,sudkorean,aussenministerium,pakistan,raket,atomwaff,militar,nordkorean,tschechi,waff,besuch,delhi,atomprogramm,nord,kaschmir,fuhr,konflikt,afp,ap,nordkoreas,korean,druck,abkomm,gesprach,fordert,iaea,unterstutz,erklar,bedroh,expert,nachrichtenagentur,uran,ahmadinedschad,nuklear,standig,mitglied,kofi,vertret,offiziell,schritt,test,fuhrung,westlich,dialog,york,ind,versuch,sudkoreas,new,treff,aussenpolit,zusammenarbeit,diktator,reis,sollt,bau,drohung,inspektor,gefahr,west,aufheb,atomar,hilf,verhangt,atombomb,seit,droht,verbundet,sud,vertrag,umstritt,kris,ban,havel,donnerstag
