topic0,zins,anleih,kredit,rendit,niedrig,spar,papi,laufzeit,anleg,darleh,staatsanleih,schuld,fallig,zin,investor,gunstig,zehnjahr,bond,langfrist,kondition,hoch,liegt,zinssatz,kapitalmarkt,volum,kurzfrist,finanzier,bundesanleih,angebot,risiko,betrag,rat,wert,biet,gering,verzins,kauf,anlag,sech,kapital,finanzi,je,lieg,vergleich,steig,verschuld,sollt,betragt,pfandbrief,entsprech,zahlt,prozentpunkt,wertpapi,ruckzahl,aktuell,attraktiv,summ,tilgung,acht,null,sieb,bietet,expert,begeb,verzin,erhoht,alternativ,bund,sparbuch,zuruckzahl,bonitat,nachfrag,effektiv,schuldn,garantiert,finanziert,angelegt,bekomm,bedeutet,steigt,durchschnitt,dah,bring,funfjahr,knapp,emission,ertrag,tagesgeld,einlag,kreditnehm,gelt,immobili,aufnehm,vorzeit,leih,beispiel,steigend,fest,seri,unternehmensanleih
 ,0.032,0.027,0.022,0.02,0.014,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic6,kind,famili,elt,mutt,vat,ehe,frau,paar,leb,geburt,erb,kindergeld,erwachs,betreu,bekomm,oft,beruf,ley,erzieh,haus,elterngeld,unterhalt,familienpolit,partn,gesellschaft,alleinerzieh,anspruch,betreuungsgeld,gebor,kita,homosexuell,kinderbetreu,ministerin,scheidung,familienministerin,finanziell,dritt,bezieh,kindergart,bleib,schwesig,einkomm,mann,lebt,wunsch,generation,verheiratet,homo,bleibt,baby,gleich,haufig,madch,ehepaar,nachwuch,gemeinsam,bundesfamilienministerin,sozial,berufstat,lebensjahr,ehen,kinderlos,vereinbar,minderjahr,kumm,nehm,gleichstell,kleinkind,geschied,arm,gleichgeschlecht,trennung,sorg,haushalt,sech,kripp,jugendamt,regel,verwandt,elternteil,heirat,rechtsanspruch,eingetrag,betreut,schwang,ehepartn,unterstutz,kitas,geburtenrat,sollt,testament,getrennt,unterschied,schwul,ausbau,acht,partnerschaft,mocht,je,geschwist
 ,0.141,0.058,0.038,0.026,0.017,0.017,0.014,0.013,0.012,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic7,koln,dusseldorf,karstadt,metro,quell,ess,duisburg,kaufhof,haus,middelhoff,warenhaus,arcandor,oppenheim,konz,media,grupp,praktik,saturn,sal,gehor,gesellschaft,geschaftsfuhr,haniel,zuletzt,real,bielefeld,rhein,knapp,tocht,beteiligt,schickedanz,betont,gehort,teilt,ag,cord,neb,korb,zuvor,handel,stw,handelskonz,konzern,zukunft,wuppertal,zunach,kaufhaus,insgesamt,eigentum,bahr,herti,berggru,standort,moglicherweis,sinn,ubernomm,nam,gemacht,deutz,esch,hort,ruhr,sech,rheinisch,septemb,dortmund,inzwisch,immobili,neckermann,bald,karstadtquell,kurz,einschatz,gorg,krefeld,cash,auskunft,konzept,kellerhal,mitt,baumarkt,entsprech,filial,ubrig,voraussicht,ehemal,monchengladbach,aktivitat,benko,zusamm,holding,zufolg,schwierig,bochum,bleibt,herb,management,versand,hornbach,aufgrund
 ,0.09,0.05,0.027,0.025,0.024,0.018,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic8,arzt,kass,patient,medizin,krankenkass,krankenhaus,gesetz,versichert,klinik,krank,krankenversicher,behandl,apothek,beitrag,gesundheitsreform,medikament,gesundheitswes,gesund,privat,versorg,leistung,ulla,kost,aok,kassenarzt,gesundheitspolit,zahnarzt,verband,arztlich,gesundheitsminist,gesundheitsministerin,arznei,seehof,operation,ausgab,syst,zuzahl,mitglied,krankheit,ministerin,gesundheitssyst,behandelt,beitragssatz,chronisch,kbv,gesundheitsministerium,hausarzt,niedergelass,verein,einzeln,arzneimittel,zahnersatz,praxis,bundesgesundheitsminist,bundesverein,marburg,reform,therapi,honorar,bezahl,gesundheitsfond,zusatzbeitrag,lauterbach,psychisch,bahr,bundesverband,behandeln,steig,eingriff,einfuhr,pkv,gkv,burgerversicher,durf,zusatz,ambulant,wettbewerb,budget,spitzenverband,gesundheitsexpert,rhon,spahn,pharmaindustri,arzteschaft,bkk,montgomery,rosl,barm,betriebskrankenkass,erkrank,qualitat,organsp,notwend,diagnos,abrechn,ersatzkass,sollt,expert,klinikum,praxisgebuhr
 ,0.047,0.035,0.026,0.023,0.022,0.017,0.016,0.015,0.015,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic9,offenbar,druck,hiess,gerucht,spekulation,uberrasch,zunach,gegeb,woll,nachd,zuvor,offiziell,liess,off,zuletzt,gesprach,bislang,reagiert,darub,donnerstag,ankund,unklar,wonach,gemacht,kreis,angekundigt,gerat,erklar,auss,dementiert,spekuliert,moglicherweis,uberrascht,wochen,beobacht,ruckzug,vermut,gesagt,aussag,zweifel,zeitpunkt,genannt,hintergrund,schritt,gekomm,gefuhrt,bevorsteh,ledig,gebracht,vollig,gesproch,hinweis,blieb,bestat,gesorgt,erneut,ausgelost,ausgeschloss,angesicht,aussert,ausser,daraufhin,hor,geaussert,vernehm,wahrschein,meldung,inzwisch,wollt,deutet,stet,unmittelbar,sorgt,sowohl,heftig,verwirr,verkundet,gefall,entschied,gesetzt,offensicht,entgeg,umfeld,nehm,wiederholt,unwahrschein,getroff,reaktion,bemuht,kur,sah,fuhr,gestellt,vorerst,kommentar,pressekonferenz,kurz,massiv,unruh,zeigt
 ,0.031,0.021,0.019,0.016,0.016,0.014,0.013,0.013,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic10,konz,basf,chemi,medikament,pharma,henkel,weltweit,merck,umsatz,firma,konzern,frankfurt,herstell,hoech,produkt,schering,mittel,pharmakonz,roch,ubernahm,firm,novartis,heidelberg,degussa,aventis,spart,chemiekonz,entwickl,teilt,wack,fresenius,sanofi,pfiz,biotech,beiersdorf,bereich,ludwigshaf,forschung,zuletzt,leverkus,verkauf,biotechnologi,altana,pharmakonzern,generika,lanxess,zulass,praparat,wirkstoff,pharmaunternehm,tocht,boehring,evon,arznei,konkurrent,arzneimittel,merckl,johnson,zukauf,stada,proct,gambl,kosmet,branch,hambrecht,setzt,chemiekonzern,car,gehort,wella,dollar,pill,knapp,verkauft,wenning,glaxo,entwickelt,aktivitat,bad,kunststoff,skw,homburg,gehor,vorstandschef,neb,erzielt,beschaftigt,chemieunternehm,scienc,chemical,arzneimittelherstell,medical,nobel,sandoz,cement,morphosys,fmc,heitmann,poulenc,ciba
