topic0,zins,anleih,kredit,rendit,niedrig,spar,papi,laufzeit,anleg,darleh,staatsanleih,schuld,fallig,zin,investor,gunstig,zehnjahr,bond,langfrist,kondition,hoch,liegt,zinssatz,kapitalmarkt,volum,kurzfrist,finanzier,bundesanleih,angebot,risiko,betrag,rat,wert,biet,gering,verzins,kauf,anlag,sech,kapital,finanzi,je,lieg,vergleich,steig,verschuld,sollt,betragt,pfandbrief,entsprech,zahlt,prozentpunkt,wertpapi,ruckzahl,aktuell,attraktiv,summ,tilgung,acht,null,sieb,bietet,expert,begeb,verzin,erhoht,alternativ,bund,sparbuch,zuruckzahl,bonitat,nachfrag,effektiv,schuldn,garantiert,finanziert,angelegt,bekomm,bedeutet,steigt,durchschnitt,dah,bring,funfjahr,knapp,emission,ertrag,tagesgeld,einlag,kreditnehm,gelt,immobili,aufnehm,vorzeit,leih,beispiel,steigend,fest,seri,unternehmensanleih
 ,0.093,0.035,0.034,0.024,0.02,0.012,0.01,0.01,0.01,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
topic43,ja,streiflicht,sz,lieb,sag,natur,vielleicht,gar,leb,namlich,hund,gott,leid,wort,wiss,wirklich,gern,beispiel,ewig,bos,gewiss,leut,ding,herz,himmel,ubrig,sach,herr,mag,art,aug,katz,mann,tier,eben,denk,sinn,gesagt,jedenfall,nie,wohl,gluck,nein,dicht,bitt,all,les,ach,wes,seel,wild,kopf,wahr,lasst,je,mocht,wenigst,wund,licht,pferd,leicht,paar,freud,bloss,endlich,oft,gleich,richtig,andererseit,hort,erd,geist,wusst,glucklich,lach,her,vergess,zahn,uberhaupt,heiss,selb,mog,freilich,warum,wahrschein,einfach,gerad,teufel,arm,wahrheit,tut,eigent,dumm,derart,manchmal,denkt,gedank,ohr,bild,irgendwi
 ,0.015,0.009,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic44,okonom,beispiel,oft,einfach,lasst,unterschied,warum,je,genau,richtig,sinn,tatsach,natur,tun,probl,syst,eben,wirklich,wiss,falsch,theori,haufig,bestimmt,einzeln,gleich,begriff,roll,desto,zeigt,gesellschaft,denk,gerad,ide,wert,funktioniert,verhalt,gar,bedeutet,method,spiel,fuhrt,modell,okonomi,selt,professor,erklar,folg,eher,erkenntnis,ahnlich,sollt,liegt,nutz,realitat,versuch,faktor,versteh,komplex,handeln,thes,eigent,zeig,debatt,gegenteil,entsteh,fuhr,prinzip,entwickelt,leicht,grenz,darin,argument,erfahr,blick,daran,uberhaupt,dah,ergebnis,erkenn,antwort,art,rational,trotzd,phanom,durchaus,funktioni,vielleicht,wissenschaft,effekt,best,sinnvoll,verandert,jahrzehnt,bild,mass,kompliziert,findet,darub,daraus,glaub
 ,0.016,0.014,0.01,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic45,wort,antwort,wiss,sag,red,warum,genau,thema,erklar,gar,eigent,wohl,satz,gesagt,sach,darub,tatsach,tun,uberhaupt,eindruck,wirklich,fragt,spricht,ja,niemand,off,lasst,jedenfall,versteh,daran,offenbar,darum,liess,richtig,zumind,verstand,schliesslich,zweifel,lautet,gefragt,gemeint,nie,hor,antwortet,gesproch,aussag,wann,eben,ding,versucht,vielleicht,einfach,mocht,formuliert,begriff,kolleg,gehort,detail,uuml,stellt,auss,meint,gleich,art,sicht,womog,ziemlich,wusst,auml,jemand,vorsicht,gemacht,konkret,gegeb,findet,getan,wed,beantwort,formulier,falsch,probl,wahrheit,erfahr,beantwortet,diskutiert,nenn,nennt,ausgerechnet,darin,gegenteil,redet,scheint,punkt,botschaft,immerhin,bevor,passiert,find,damal,erkenn
 ,0.021,0.019,0.018,0.018,0.015,0.015,0.015,0.013,0.013,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic46,cdu,westfal,bad,nordrhein,ministerprasident,spd,hess,niedersachs,dusseldorf,stuttgart,rheinland,schleswig,holstein,landtag,hessisch,bundesland,landesregier,pfalz,kiel,nrw,saarland,wurttemberg,clement,mainz,bund,ruttg,grun,landtagswahl,wiesbad,kretschmann,teufel,saarbruck,hannov,pfalzisch,oetting,bay,frankfurt,bundesweit,ministerprasidentin,rau,rhein,sudw,mappus,munst,regierungschef,staatskanzlei,hohn,heid,bouffi,minist,landesvorsitz,landeschef,wirtschaftsminist,laschet,stegn,ruhr,regiert,carstens,innenminist,kreis,oberburgermeist,dortmund,gefuhrt,inland,landtagsfraktion,fraktionschef,landespolit,landtagsabgeordnet,landesverband,nord,saar,drey,mai,bohr,koblenz,glogowski,strobl,albig,ruhrgebiet,brem,bochum,marz,christdemokrat,doring,mcallist,klockn,stellvertret,ssw,rot,fraktion,umweltministerin,geschaftsfuhr,rheinisch,mannheim,palm,kramp,main,karrenbau,gelsenkirch,ap
 ,0.059,0.054,0.048,0.047,0.036,0.031,0.025,0.025,0.022,0.022,0.02,0.019,0.018,0.018,0.017,0.016,0.015,0.014,0.014,0.013,0.013,0.013,0.011,0.01,0.01,0.01,0.009,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic47,vorstand,aufsichtsrat,manag,nachfolg,ag,vorstandschef,vorstandsvorsitz,geschaftsfuhr,verantwort,personali,spitz,vorstandsmitglied,vorsitz,zustand,mitglied,aufsichtsratschef,jahrig,beruf,aufgab,sz,tatig,wechselt,leit,wechsel,konz,fuhrung,aufsichtsratsvorsitz,ubernimmt,ubernehm,konzern,post,verwaltungsrat,finanzvorstand,management,bisher,ehemal,hauptversamml,leitet,stellvertret,foto,zuletzt,finanzchef,gremium,verlass,konzernchef,ruhestand,teilt,vorgang,vertrag,langjahr,verlasst,bereich,ausscheid,bestellt,tritt,wirkung,finanz,position,mg,ubernomm,ex,funktion,kontrollgremium,april,mai,operativ,sitzung,person,amt,leitung,arbeitet,ernannt,januar,job,abgang,grossaktionar,uberrasch,marketing,vertret,cromm,ausgeschied,folgt,lost,wunsch,juli,vertrieb,geleitet,ressort,sofort,gewahlt,aufsichtsratssitz,verantwortet,erfahr,fuhrungskraft,sitzt,berat,ablos,holding,geburt,kontrolleur
 ,0.059,0.048,0.023,0.018,0.017,0.016,0.014,0.014,0.012,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic48,bund,staatlich,hilf,forder,bundesregier,mittel,programm,zusatz,finanziell,unterstutz,gefordert,finanzier,subvention,verfug,kost,insgesamt,ford,jahrlich,fordert,investition,zuschuss,finanziert,summ,fliess,finanzi,beitrag,vorgeseh,sollt,direkt,ausserd,ausgab,massnahm,aufbau,notig,rahm,mitteln,erhoh,ausbau,notwend,betrag,beschloss,unterstutzt,zahlung,halft,steuerzahl,beteil,ausgegeb,haushalt,finanzhilf,zusag,infrastruktur,benotigt,verteil,leist,hinaus,gestellt,verwend,trag,steuergeld,ausreich,gewahrt,darub,aufgab,dringend,ubernehm,bekomm,bereitstell,beihilf,bundesland,budget,projekt,mindest,verwendet,stellt,bereitgestellt,wiederaufbau,aufstock,eingesetzt,ausgeb,entsprech,ministerium,bisher,investi,bedarf,ausgleich,umfang,suddeutsch,sogenannt,erheb,dadurch,bislang,geschaff,konkret,kommun,drittel,brauch,anreiz,ziel,kritisiert,langfrist
 ,0.049,0.031,0.028,0.028,0.026,0.026,0.019,0.018,0.017,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic49,buch,journalist,medi,bild,les,autor,schreibt,veroffentlicht,schrieb,seit,schreib,report,blatt,list,geschrieb,text,magazin,verlag,titel,erschein,artikel,zeitschrift,erschi,darin,verleg,nam,press,veroffentlich,angeb,ausgab,kritisch,geschicht,chefredakteur,redaktion,berichterstatt,exemplar,tageszeit,wort,auflag,nachricht,zitiert,stern,person,gedruckt,verfasst,gemacht,verbreitet,interview,schriftstell,erscheint,brief,pressefrei,papi,anzeig,seh,zeigt,find,redakteur,behauptet,kommentar,kolleg,suddeutsch,inhalt,meinung,prominent,interviews,aktuell,recherch,fotos,schlagzeil,veroffent,stellt,taglich,nennt,nie,sprach,geles,herausgeb,verbreit,gehort,beschrieb,liest,findet,aufmerksam,heraus,korrespondent,werk,geword,genannt,band,darstell,publikation,fand,journalistin,them,thema,passag,damal,allgemein,book
 ,0.041,0.032,0.021,0.018,0.017,0.014,0.013,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic50,angst,hand,tur,lasst,ruh,schnell,seh,wart,gefahr,furcht,bleibt,nehm,off,niemand,wiss,bleib,bring,aug,gelass,bild,gleich,gar,genau,lauf,wach,still,schlag,fuss,bald,beweg,voll,herrscht,scheint,zeig,schliesslich,versucht,gang,kopf,bevor,zeigt,nimmt,auss,richtung,plotzlich,verschloss,zieh,liegt,obwohl,nah,leg,lauft,spricht,versuch,liess,fest,verlass,setz,leicht,offn,zumind,ruhig,leer,moment,schwer,dennoch,diesmal,ruck,spiel,stund,heiss,luft,wartet,such,davor,passiert,leut,lieg,sofort,daran,bod,schreck,beginnt,licht,blick,langsam,spur,fallt,hor,sturm,geword,ohnehin,furchtet,wed,einzig,standig,hoffnung,offnet,bringt,beruh,taglich
 ,0.022,0.016,0.015,0.015,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
topic51,iran,un,sanktion,sicherheitsrat,teheran,nation,vereint,resolution,diplomat,generalsekretar,annan,aussenminist,botschaft,regim,russland,washington,york,iaea,new,ahmadinedschad,mitglied,kofi,atomprogramm,genf,standig,west,grossbritanni,uran,frankreich,veto,aufheb,ban,verhangt,fuhr,druck,westlich,konflikt,vollversamml,chatami,unterstutz,rat,aussenministerium,fuhrung,chamenei,bezieh,sitz,mahmud,gremium,fordert,atomstreit,militar,ki,embargo,vertret,moon,geistlich,gemeinschaft,islam,republ,friedlich,ayatollah,volkerrecht,haltung,losung,syri,anreicher,atomwaff,menschenrecht,strafmassnahm,china,generalversamml,drohung,atomenergiebehord,charta,zusammenarbeit,unterstutzt,berat,inspektor,diplomati,rohani,zivil,schritt,organisation,kris,aufgefordert,weltsicherheitsrat,zugang,erklar,bemuh,umstritt,urananreicher,verbundet,mission,aussenpolit,humanitar,vorgeh,laut,scharf,nachrichtenagentur,versuch
 ,0.095,0.072,0.027,0.026,0.026,0.023,0.023,0.016,0.013,0.012,0.011,0.01,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic52,israel,palastinens,arafat,jerusal,hamas,gaza,netanjahu,scharon,westjordanland,streif,judisch,nahost,libanon,israelis,arab,abbas,hisbollah,isral,tel,aviv,nah,siedlung,fried,friedensprozess,arme,gebiet,libanes,ost,ministerprasident,barak,syri,per,plo,soldat,besetzt,premi,olmert,gazastreif,fatah,ariel,regierungschef,ramallah,jordani,jassir,aussenminist,gewalt,agypt,beirut,premierminist,autonomiebehord,ehud,hebron,ruckzug,palastinenserprasident,likud,rabin,radikal,jerusalem,abzug,fuhr,organisation,krieg,palastinensergebiet,arbeitspartei,schimon,grenz,rundfunk,stadt,intifada,verteidigungsminist,palastina,machmud,islam,waffenruh,autonomi,jud,netanjahus,mitglied,hariri,sudlibanon,el,kairo,seit,dschihad,beginn,damaskus,raket,getotet,syrisch,oslo,yassir,konflikt,friedensgesprach,verhandl,rain,jordan,haus,angriff,zuvor,bethleh
 ,0.117,0.06,0.018,0.017,0.017,0.015,0.013,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
topic53,itali,italien,rom,berlusconi,mailand,silvio,di,prodi,premi,mitt,lir,link,romisch,nord,ministerprasident,italia,berlusconis,mafia,renzi,lega,turin,regierungschef,monti,la,fiat,olivetti,della,spa,neapel,national,pdl,fuhr,corri,staatsprasident,benetton,sera,europas,paolo,sizili,beweg,fini,banca,telecom,ex,senat,priebk,fg,stern,dini,florenz,forza,mont,agnelli,parmalat,giovanni,roberto,bossi,grillo,sudtirol,pd,pirelli,schwer,salvini,ging,napolitano,sud,genua,repubblica,alitalia,ciampi,boss,cinqu,luigi,san,vened,stellt,tremonti,setzt,zusamm,zugleich,letta,palermo,staatlich,il,bring,giorgio,fuhrt,umgerechnet,massimo,pietro,sizilian,gehort,region,populist,liess,del,hoch,allianz,senator,christdemokrat
 ,0.108,0.075,0.045,0.03,0.023,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic54,schiff,boot,australi,haf,meer,kust,insel,bord,island,austral,see,marin,met,kilomet,inseln,wass,neuseeland,pirat,contain,erd,fracht,reed,gewass,reederei,nah,tonn,fisch,mittelme,flott,all,mar,nord,kapitan,tief,kriegsschiff,ostse,flagg,gebiet,fahr,greenpeac,ozean,besatz,kanal,gebracht,howard,wett,strand,fahrt,kustenwach,eis,nordse,fluss,entfernt,foto,mission,sud,zwolf,hundert,tank,nasa,liegt,entdeckt,gerettet,pazif,richtung,such,atlant,canberra,iss,unterweg,grad,schwer,fang,region,bestand,norweg,ladung,fregatt,gefahr,sudlich,erreicht,nordlich,planet,astronaut,transportiert,festland,quadratkilomet,fischerei,bedroht,tausend,golf,containerschiff,wind,gehor,tauch,kalt,reis,art,gronland,mond
 ,0.032,0.019,0.017,0.016,0.015,0.013,0.013,0.011,0.011,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic55,gefangnis,verurteilt,haft,gefang,verbrech,haftling,justiz,menschenrecht,entlass,gericht,festgenomm,folt,mord,freilass,inhaftiert,verhaftet,haftbefehl,ausliefer,todesstraf,guantanamo,amnesty,mann,festnahm,justizminist,straf,oberst,menschenrechtsorganisation,verhaft,behord,jahrig,vorgeworf,lebenslang,tod,hinricht,mutmass,gerichtshof,straftat,tat,europarat,haftstraf,strassburg,verantwort,freigelass,human,rechtsstaat,misshandl,fuss,anwalt,amnesti,menschenrechtsverletz,ausgeliefert,afp,gefoltert,verfolg,right,ex,zell,begang,freiheit,gefahr,menschenrechtl,verurteil,watch,todesurteil,festgehalt,hungerstreik,sicherungsverwahr,vorwurf,prozess,justizministerium,verdacht,angehor,jurist,hingerichtet,gestellt,haag,menschlich,konvention,hausarr,erlass,angeordnet,angeb,verhor,zustand,organisation,sitzt,misshandelt,opf,kriegsverbrech,oppositionell,verhangt,ap,kritisiert,willkur,anklag,behandl,schwer,beschuldigt,gitt,schuldig
 ,0.027,0.025,0.021,0.019,0.013,0.013,0.013,0.012,0.012,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic56,de,stellt,fest,setzt,dritt,bleibt,maizièr,legt,gleich,ebenfall,statt,zunach,bleib,zeigt,neb,fuhrt,folg,zusamm,fort,trotz,bislang,dar,acht,obwohl,ging,reih,stand,inzwisch,zuletzt,jeweil,erstmal,sech,facto,blieb,www,gesamt,ubrig,nimmt,einzig,innerhalb,gehort,liegt,nah,heraus,dennoch,voll,ebenso,sieb,zuvor,genannt,bedeut,lieg,danach,bild,auss,gemacht,genau,ausserd,daran,findet,lini,lauf,hingeg,hoch,laut,gleichzeit,folgt,wiederum,gehor,seri,kurz,liess,viert,ahnlich,klein,hinaus,darin,genomm,geword,sueddeutsch,erfolg,herb,bestimmt,praktisch,nehm,schwer,verschied,trotzd,stet,bestand,bedeutet,gesetzt,besteht,je,bevor,zahlt,gebracht,ausschliess,mittlerweil,hielt
 ,0.069,0.044,0.038,0.024,0.02,0.016,0.012,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic57,studi,ergebnis,umfrag,befragt,institut,laut,untersuch,schlecht,zeigt,zufolg,demnach,haufig,veroffentlicht,drittel,halft,unterschied,auftrag,eher,forsch,vergleich,ergab,gering,untersucht,hervor,knapp,liegt,durchschnitt,zufried,befrag,zeig,oft,schnitt,seh,viertel,analys,lieg,mehrheit,positiv,aktuell,wert,dritt,erheb,hoch,expert,hingeg,danach,bundesburg,funft,autor,bevolker,vorgestellt,dat,selt,wissenschaftl,reprasentativ,meinung,viert,beleg,stiftung,ergeb,best,ermittelt,find,unzufried,ahnlich,person,immerhin,statist,trend,ledig,belegt,iw,negativ,erkenntnis,schluss,ansicht,uberwieg,offenbar,leicht,bild,fand,erstellt,auffall,wunsch,thema,regelmass,beliebt,acht,auswert,obwohl,je,verbreitet,gegeb,verbessert,verglich,fazit,bewertet,aussag,glaub,fest
 ,0.067,0.031,0.031,0.026,0.021,0.02,0.019,0.017,0.017,0.015,0.014,0.013,0.013,0.012,0.011,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
