topic0,bank,allianz,institut,kund,dresdn,frankfurt,sparkass,munch,landesbank,kredit,versicher,commerzbank,geschaft,ruck,privat,hvb,westlb,kreditinstitut,hypovereinsbank,grossbank,versich,tocht,beteil,offent,postbank,bayer,fusion,grosst,bankgesellschaft,rating,verkauf,halt,hypo,breu,gut,risik,risikovorsorg,vereinsbank,beid,sowi,etwa,derzeit,finanzdienstleist,geldhaus,dabei,sprech,filial,drei,stark,geldinstitut,zurich,berat,rund,rechtlich,lebensversicher,anteil,bilanzsumm,schad,privatbank,agentur,ubs,ausland,ausserd,vermogensverwalt,vorstandssprech,allerding,credit,hypothek,bish,hypothekenbank,vermog,chef,moglich,bankhaus,haus,eigenkapital,gross,gerling,heisst,kapital,gesamt,axa,osterreich,dg,basel,mlp,international,investmentbank,ca,direktbank,genossenschaft,gehor,austria,privatkund,laut,beteiligt,leasing,ruckversicher,banking,finanzier
 ,0.19,0.04,0.022,0.017,0.017,0.016,0.013,0.012,0.01,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic6,pol,opf,polnisch,tschechisch,prag,zweit,ehemal,histor,fruh,geschicht,jud,warschau,berlin,judisch,entschad,damal,weltkrieg,hatt,tschechi,bundesprasident,npd,heut,jahrestag,ns,holocaust,alt,teil,zwangsarbeit,republ,erklar,bundesrepubl,nazi,vorsitz,hitl,besuch,verantwort,tag,etwa,stiftung,vertret,anlass,vertreib,bezieh,red,erinnert,erinner,verbrech,zentrum,sprach,kommunist,nam,krieg,symbol,konnt,sowi,mai,uberleb,gehort,mensch,vertrieb,bundeskanzl,end,havel,wort,auschwitz,rechtsextrem,gedacht,gemeind,heutig,zentralrat,entschuld,gedenk,anspruch,dafur,nazis,person,solidaritat,sudetendeutsch,verhaltnis,besond,ss,burg,rechtsradikal,letzt,unrecht,gemeinsam,nationalsozialist,osterreich,gest,rechtsextremist,nahm,leb,gross,erhalt,versohn,gedenkstatt,regim,angehor,reich,bezeichnet
 ,0.018,0.014,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic7,milliard,dollar,ubernahm,verkauf,fusion,konz,grosst,anteil,akti,aktionar,angebot,us,beid,konzern,chef,beteil,partn,zusammenschluss,mannesmann,geschaft,ubernehm,investor,rund,weltweit,firm,wert,amerikan,konkurrent,vodafon,group,verkauft,halt,telecom,tocht,interess,grupp,firma,euro,erwerb,gesellschaft,analyst,strateg,offert,je,global,zweitgrosst,management,transaktion,inc,teilt,corp,ubernahmeangebot,franc,einstieg,hoech,erhalt,new,beteiligt,allianz,geplant,finanzinvestor,gross,at,interessiert,ubernomm,bekannt,kauf,kaufpreis,deal,gebot,zusamm,kauft,spekulation,aventis,interessent,york,vivendi,europa,zufolg,hiess,numm,schuld,fuhrend,feindlich,bors,mehrheit,télécom,gerucht,sach,plan,anteilseign,grossaktionar,investmentbank,international,ubernimmt,angekundigt,woll,disney,gehort,wall
 ,0.039,0.027,0.025,0.016,0.016,0.013,0.013,0.013,0.012,0.012,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic8,preis,tonn,ol,etwa,pro,je,bau,verbrauch,landwirtschaft,dollar,lit,opec,bse,derzeit,markt,olpreis,barrel,norweg,woch,wenig,shell,rund,nachfrag,zehn,weltweit,grosst,rohstoff,tier,cent,produktion,produkt,knapp,landwirt,brauerei,teur,benzin,hoch,beim,bier,billig,fast,bp,drei,tag,tankstell,erdol,ab,fleisch,meng,lebensmittel,betrieb,funf,gross,stark,kunast,rind,cola,angab,fass,lag,niedrig,wein,steig,forder,welt,dageg,jahrlich,erreicht,durchschnitt,getrank,konnt,verandert,jedoch,coca,grund,liegt,gestieg,teil,deutlich,nestlé,monat,ernt,handel,produzent,erhoh,stand,flasch,davon,taglich,halt,rohol,pfennig,kostet,steigend,angebot,inzwisch,gering,raffineri,organisation,laut
 ,0.024,0.012,0.011,0.011,0.01,0.009,0.008,0.008,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic9,gesetz,kunftig,regel,durf,recht,entwurf,entscheid,regeln,fall,verabschiedet,grundsatz,moglich,entsprech,beschloss,vorschlag,gesetzentwurf,zustimm,gelt,sieht,bish,verbot,reform,darf,schutz,bestimmt,bundesregier,bundesrat,rechtlich,vorschrift,geltend,plan,erlaubt,grundgesetz,gesetzgeb,beschluss,bestimm,umstritt,dageg,offent,geplant,vorgeseh,richtlini,einzeln,enthalt,ausserd,vorgelegt,heisst,zulass,berat,allerding,besteh,zustand,verpflichtet,bedenk,gilt,einfuhr,tret,musst,ausnahm,verhind,darub,verordn,streng,verabschied,darauf,vorlag,geregelt,allgemein,bisher,danach,umsetz,geandert,artikel,abschaff,einschrank,praxis,verstoss,sollt,beschrank,erhalt,massnahm,sogenannt,verfass,verlang,neuregel,bundestag,vorhab,notwend,verpflicht,grundlag,widerstand,festgelegt,unabhang,streit,deshalb,erford,vereinbar,stimmt,ab,genannt
 ,0.038,0.014,0.012,0.011,0.01,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic10,zahl,wirtschaft,stark,deutlich,wachstum,statist,lag,wenig,erwartet,entwickl,gestieg,ruckgang,institut,gegenub,konjunktur,monat,industri,anstieg,niedrig,vergleich,erwart,durchschnitt,aufschwung,prognos,export,leicht,plus,dageg,positiv,gesunk,steigend,branch,nachfrag,trotz,rechnet,bundesamt,rechn,schwach,wiesbad,vorjahr,sogar,real,quartal,steig,erreicht,einschatz,zuruck,gering,zunehm,kraftig,ifo,niveau,trend,minus,allerding,rezession,ausland,arbeitslos,hoch,insgesamt,kommend,erhol,ging,bruttoinlandsprodukt,stieg,arbeitsmarkt,wirtschaftswachstum,optimist,zuwach,konjunkturell,durft,investition,gewerb,anhalt,zweit,wirtschaftsforsch,gut,drei,folg,prozentpunkt,zunahm,verband,west,bess,zuruckgegang,lieg,schlecht,laufend,weiterhin,expert,sinkend,beleb,langsam,fast,gunstig,vormonat,ost,hatt,wert,erhoht
 ,0.016,0.014,0.012,0.012,0.011,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic11,spd,grun,koalition,rot,bundestag,pds,berlin,bonn,fraktion,abgeordnet,bundesregier,partei,regier,sozialdemokrat,opposition,lafontain,union,clement,cdu,mehrheit,muntefering,bundnis,bundesrat,kanzl,fdp,reform,scharping,bundeskanzl,debatt,fraktionschef,parlamentar,vorsitz,streit,parteitag,bundestagsfraktion,antrag,ab,link,bish,minist,zustimm,geb,stimm,dageg,bundestagswahl,joschka,entscheid,fordert,sitzung,gross,fraktionsvorsitz,trittin,vorschlag,statt,struck,lehnt,bundestagsabgeordnet,dafur,vermittlungsausschuss,kompromiss,linkspartei,sprach,kabinett,beschluss,klar,deutlich,beschloss,abstimm,kunftig,konzept,koalitionspartn,gysi,stellvertret,zeitung,koalitionsvertrag,legislaturperiod,sozial,kundigt,kritik,nordrhein,wirtschaftsminist,westfal,warf,kanzleramt,ausschuss,woll,ministerprasident,thema,widerstand,forder,steinbruck,landtagswahl,donnerstag,diskussion,woch,staatssekretar,position,wochen,delegiert,papi
