topic0,bank,allianz,institut,kund,dresdn,frankfurt,sparkass,munch,landesbank,kredit,versicher,commerzbank,geschaft,ruck,privat,hvb,westlb,kreditinstitut,hypovereinsbank,grossbank,versich,tocht,beteil,offent,postbank,bayer,fusion,grosst,bankgesellschaft,rating,verkauf,halt,hypo,breu,gut,risik,risikovorsorg,vereinsbank,beid,sowi,etwa,derzeit,finanzdienstleist,geldhaus,dabei,sprech,filial,drei,stark,geldinstitut,zurich,berat,rund,rechtlich,lebensversicher,anteil,bilanzsumm,schad,privatbank,agentur,ubs,ausland,ausserd,vermogensverwalt,vorstandssprech,allerding,credit,hypothek,bish,hypothekenbank,vermog,chef,moglich,bankhaus,haus,eigenkapital,gross,gerling,heisst,kapital,gesamt,axa,osterreich,dg,basel,mlp,international,investmentbank,ca,direktbank,genossenschaft,gehor,austria,privatkund,laut,beteiligt,leasing,ruckversicher,banking,finanzier
 ,0.102,0.071,0.025,0.023,0.02,0.019,0.016,0.015,0.012,0.011,0.011,0.011,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
topic12,prasident,regier,de,brasili,argentini,erklart,afp,mexiko,sudafrika,indonesi,national,ehemal,general,staatschef,diktator,woch,ex,indones,militar,jedoch,international,macht,kolumbi,pinochet,prot,brasilian,tag,fruh,hauptstadt,chil,jakarta,sudafrikan,staat,ap,unabhang,demokrati,buenos,cuba,castro,end,mexikan,argentin,anhang,nachd,opposition,bevolker,air,fordert,kundigt,san,unruh,chavez,sowi,afrikan,beweg,botschaft,simbabw,mandela,monat,rio,exil,fuhr,montag,osttimor,nigeria,kris,unterstutz,suharto,diktatur,kam,oberst,demokrat,mugab,oppositionell,kolumbian,revolution,farc,provinz,cuban,kuban,weiss,regim,la,putsch,entlass,venezuela,tausend,johannesburg,stadt,lateinamerika,ausland,sudafrikas,peru,port,zuruck,guerilla,ruckkehr,ab,schwarz,korruption
 ,0.039,0.021,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic13,us,usa,amerikan,washington,prasident,bush,new,york,clinton,georg,pakistan,amerika,republikan,staat,bill,regier,indi,kongress,dollar,haus,vereinigt,demokrat,indisch,bundesstaat,septemb,senat,senator,beid,weiss,amerikas,botschaft,tim,welt,kaschmir,woch,wichtig,tag,bezieh,delhi,reprasentantenhaus,kampf,gouverneur,ap,krieg,red,unterstutz,kaliforni,terror,los,afp,lad,aussenministerium,islamabad,gor,powell,vizeprasident,fbi,florida,erklart,konnt,kerry,ric,teil,terroranschlag,guantanamo,national,musharraf,post,allerding,albright,international,besuch,novemb,world,texas,verbundet,angel,atomwaff,plan,terrorismus,diplomat,aussenministerin,dol,starr,bish,lewinsky,trad,macht,anti,sanktion,of,fuhr,nation,bob,ind,zweit,ausserd,reagan,aussenpolit,pentagon
 ,0.088,0.074,0.061,0.041,0.038,0.029,0.026,0.022,0.02,0.012,0.012,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic14,mensch,tag,haus,stadt,stund,gross,imm,ganz,strass,gibt,meist,leb,lang,wenig,konnt,ort,uhr,met,fast,gebaud,arbeit,wass,nacht,komm,hundert,schwer,nah,steh,schad,minut,kam,fahr,taglich,raum,tausend,liegt,steht,tur,morg,halb,kilomet,entfernt,mal,schnell,leut,teil,katastroph,bild,musst,fahrt,bod,hand,heut,besond,letzt,hotel,lass,seh,angst,helf,leer,tief,gab,stand,abend,sitz,erd,uberall,wart,geh,gast,find,such,welt,hoch,allein,riesig,wand,ging,zuruck,voll,kaum,fest,verlass,hilf,paar,besuch,ab,fenst,rot,genau,grad,park,flut,wohnung,sogar,niemand,oft,fruh,bewohn
 ,0.014,0.013,0.013,0.01,0.008,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic15,internet,comput,kund,markt,microsoft,softwar,elektron,onlin,anbiet,gerat,nutz,weltweit,pc,dien,firm,digital,mobil,technologi,ibm,herstell,netz,handy,produkt,system,servic,schnell,technik,geschaft,information,angebot,sap,firma,branch,programm,it,mobilcom,technisch,intel,kart,umt,dienstleist,sony,etwa,com,aol,dat,zugang,de,telefon,entwickelt,erklart,bereich,fernseh,mobilfunk,munch,cent,allerding,dabei,sowi,mail,numm,windows,anwend,multimedia,philips,business,entwickl,beim,appl,kunftig,handys,pro,rechn,konkurrent,syst,bietet,start,nokia,angab,standard,rund,genannt,telekommunikation,chef,cd,www,lizenz,monat,laut,kost,marktanteil,compaq,netzwerk,konkurrenz,musik,gross,gat,dell,zufolg,moglich
 ,0.027,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic16,israel,palastinens,iran,arafat,arab,jerusal,scharon,agypt,regier,teheran,gaza,hamas,westjordanland,nah,syri,isral,aussenminist,prasident,judisch,nahost,netanjahu,streif,libanon,gebiet,arme,israelis,staat,ministerprasident,ost,fried,siedlung,friedensprozess,erklart,islam,kairo,besetzt,hisbollah,plo,barak,soldat,libanes,per,fuhr,tel,abbas,el,ruckzug,angab,woch,syrisch,jordani,tag,premi,saudi,aviv,regierungschef,ariel,gewalt,montag,treff,jassir,stadt,arabi,abzug,besuch,hebron,mittwoch,radikal,mubarak,international,afp,autonomiebehord,rabin,ap,rundfunk,organisation,dienstag,angriff,damaskus,beirut,fordert,likud,ramallah,botschaft,usa,palastinenserprasident,zuvor,donnerstag,beginn,terror,autonomi,minist,plan,grenz,assad,mitglied,abkomm,diplomat,sowi,teil
 ,0.063,0.038,0.024,0.015,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic17,macht,imm,recht,welt,wenig,wirklich,wer,gefahr,blick,lass,lasst,press,niemand,angst,versuch,kaum,schreibt,lang,tatsach,offent,kris,interess,darf,kampf,gar,steht,geht,bleibt,mag,tun,spiel,end,schwach,gewiss,frag,demokrati,scheint,staat,daran,nie,burg,all,west,kanzl,alt,ganz,gibt,kommentiert,zeigt,wort,vielleicht,versucht,krieg,braucht,gegn,roll,heut,geword,wahrheit,gewalt,wohl,gerad,red,endlich,konflikt,fehl,verstand,hart,verhaltnis,allein,schlimm,hoffnung,falsch,eigent,tief,verlor,furcht,moral,auss,zeig,glaubwurd,vertrau,deshalb,schwer,letzt,gesellschaft,tat,gegenteil,machtig,argument,gross,uberzeug,geschicht,wed,klar,verli,wahr,stet,aussenpolit,gegenub
 ,0.008,0.007,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic18,bahn,lufthansa,tv,flughaf,fluggesellschaft,flugzeug,airbus,maschin,boeing,airlin,flug,zug,air,streck,send,beim,ead,projekt,db,europa,passagi,munch,luft,start,pro,geplant,berlin,chef,derzeit,auftrag,pilot,programm,dasa,fernseh,mehdorn,gesellschaft,kirch,etwa,konsortium,airways,em,kost,rtl,partn,sieb,british,maut,schien,ausbau,flieg,verkehr,transrapid,ab,beteiligt,beid,bislang,rund,media,erhalt,verbind,premi,angebot,verkehrsminist,plan,ard,luftfahrt,eisenbahn,sprech,lkw,grosst,privat,ice,jet,sat,swissair,kanal,satellit,kund,sowi,ba,bau,united,ltu,drei,konkurrenz,konnt,gross,dorni,sitz,kunftig,aerospac,konkurrent,film,ziel,entscheid,bord,ausserd,raumfahrt,zud,toll
 ,0.022,0.015,0.013,0.012,0.011,0.011,0.01,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic19,punkt,index,akti,bors,dax,zahl,stieg,uhr,handl,papi,gab,schloss,euro,verlor,us,fiel,schwach,sz,aktienmarkt,titel,legt,dow,notiert,leicht,new,anleg,york,jon,rentenmarkt,kurs,fest,markt,lag,plus,analyst,wall,umlaufrendit,wert,stand,street,dienstag,donnerstag,sank,tendiert,gewinn,minus,deutlich,ab,nasdaq,montag,mittwoch,freundlich,mdax,gewann,handel,zog,zeigt,vortag,positiv,klettert,nachd,london,gut,verlust,aktienindex,kursgewinn,nikkei,tokio,kur,munch,futur,anleih,behauptet,paris,hang,rendit,verbessert,geschloss,woch,kursverlust,aktienkurs,frankfurt,bund,stark,staatsanleih,hongkong,kontrakt,tendenz,dollar,weltbors,ebenfall,cac,busst,stoxx,stimmung,profitiert,hoch,zehnjahr,europa,dageg
 ,0.042,0.021,0.019,0.018,0.018,0.017,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic20,ag,grupp,gmbh,gesellschaft,beteil,tocht,holding,teilt,dusseldorf,anteil,co,konz,stuttgart,verkauf,gehor,ubernomm,bereich,sowi,mitarbeit,munch,geschaftsfuhr,verkauft,beteiligt,angab,hamburg,frankfurt,umsatz,halt,mannheim,aktivitat,basf,ubernahm,hauptversamml,vorstand,partn,vorstandsvorsitz,kg,gegrundet,beschaftigt,bau,tatig,beid,ess,mehrheit,hochtief,ubernimmt,erwerb,heidelberg,geschaft,erworb,vertrieb,gehort,ubernehm,tochtergesellschaft,fuhrend,degussa,vwd,augsburg,uuml,firma,neb,kapital,grundig,babcock,dortmund,auml,kunftig,immobili,engagement,famili,grossaktionar,vorstandschef,mitteilt,zusamm,kaufpreis,bish,duisburg,preussag,osterreich,konzern,erhalt,international,eigentum,servic,klockn,zuletzt,baukonz,strateg,akquisition,beteiligungsgesellschaft,ventur,dach,schritt,wcm,chemi,herstell,aktiengesellschaft,koln,bad,stw
 ,0.064,0.026,0.022,0.016,0.015,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001
topic21,fall,staatsanwaltschaft,vorwurf,ermittl,verdacht,affar,fruh,geld,hatt,untersuch,ehemal,ermittelt,skandal,zusammenhang,behord,damal,ausschuss,spend,angeb,untersuchungsausschuss,bericht,auftrag,aussag,mitarbeit,betrug,bekannt,offent,schad,ex,person,staatsanwalt,falsch,firma,pruf,verfahr,illegal,vorgeworf,korruption,aufklar,hinweis,offenbar,verantwort,eingeleitet,inzwisch,dabei,angab,vorgang,bestatigt,zeug,gegeb,zahlung,unterlag,wirtschaftspruf,erhalt,kont,information,beschuldigt,gerat,akt,erklart,bestech,untreu,erhob,gemacht,ermittlungsverfahr,informiert,anzeig,laut,lass,steuerhinterzieh,vernehm,schweiz,geht,nam,justiz,elf,verstoss,untersucht,schwer,beamt,beweis,manag,anwalt,eingestellt,handelt,gewusst,zuruck,wirft,tatsach,gutacht,prufung,genannt,moglicherweis,zustand,summ,enron,geldwasch,gezahlt,erkenntnis,verwickelt
 ,0.014,0.014,0.013,0.012,0.011,0.01,0.009,0.009,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic22,irak,un,soldat,krieg,einsatz,militar,nato,bundeswehr,bagdad,verteidigungsminist,sicherheitsrat,saddam,trupp,usa,nation,vereint,us,amerikan,waff,aussenminist,resolution,generalsekretar,hussein,arme,regier,annan,angriff,ruh,international,streitkraft,verteidigungsministerium,raket,afghanistan,diplomat,general,sanktion,unterstutz,uno,mann,wehrpflicht,beteil,mission,ziel,mandat,konflikt,kuwait,allianz,zivil,kofi,fuhrung,entsend,eingesetzt,mitglied,moglich,scharping,stationiert,etwa,regim,massenvernichtungswaff,botschaft,struck,staat,rat,standig,bedroh,bomb,panz,offizi,sollt,sicherheitspolit,schutz,luftwaff,marin,fall,aufgab,verbundet,rumsfeld,plan,konnt,sunnit,fried,verteid,aussenpolit,lag,gefahr,golfkrieg,flugzeug,schiit,diktator,nah,kampfflugzeug,verfug,hilf,terror,operation,inspektor,roll,bundnis,abzug,widerstand
 ,0.055,0.024,0.022,0.019,0.017,0.017,0.016,0.014,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic23,euro,milliard,gewinn,umsatz,quartal,ergebnis,verlust,erwartet,deutlich,konz,zahl,vorjahr,steu,monat,laufend,geschaftsjahr,halbjahr,gut,operativ,stark,zweit,stieg,dritt,erwart,geschaft,erzielt,analyst,neun,plus,positiv,teilt,akti,prognos,rechnet,steig,trotz,gestieg,frank,viert,lag,erhoht,sech,gesamtjahr,legt,je,knapp,vorstandschef,erreicht,minus,drei,schwach,wachstum,cent,zehn,verbucht,gesteigert,spart,verdient,zuruck,abschreib,vergleich,verkauf,erlos,vorjahreszeitraum,erreich,septemb,kraftig,insgesamt,beim,bess,ertrag,ziel,verbessert,allerding,bilanz,abgelauf,zins,gegenub,rund,funf,grosst,uberschuss,konzern,belast,erwirtschaftet,end,leicht,steigert,belastet,dank,sank,gerechnet,zweistell,bereich,verzeichnet,lieg,zwolf,ebit,schwierig,betrag
 ,0.104,0.041,0.027,0.024,0.021,0.019,0.015,0.012,0.012,0.011,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic24,wirtschaft,stark,ziel,wichtig,entwickl,zukunft,gross,dabei,notwend,konzept,bedeut,international,bess,struktur,sozial,wesent,unterschied,moglich,beispiel,roll,wettbewerb,bereich,okonom,aufgab,besond,erfolg,gemeinsam,kunftig,chanc,einzeln,schaff,problem,musst,langfrist,zunehm,dafur,imm,sieht,deshalb,verander,geb,strategi,syst,besteh,deutlich,insbesond,verantwort,diskussion,marktwirtschaft,global,einheit,voraussetz,interess,konn,zusammenhang,breit,eng,heisst,erfolgreich,thema,nachhalt,form,vorstell,betont,modell,schritt,entwickelt,fuhr,entwickeln,herausforder,verbund,beitrag,mittel,vielmehr,instrument,bleib,zentral,steh,aufbau,hinaus,globalisier,modern,richtung,positiv,teil,schwierig,geschaff,dah,nutz,erreich,meint,schnell,arbeit,stellt,losung,vorteil,darin,mittelstand,gestalt,bundesrepubl
 ,0.017,0.015,0.011,0.01,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic25,kampf,rebell,mensch,soldat,regier,angab,nord,hauptstadt,afghanistan,sud,fluchtling,trupp,taliban,stadt,lag,arme,getotet,grenz,uno,hatt,hilf,etwa,region,angriff,kabul,afghan,burgerkrieg,international,leb,miliz,ruanda,mindest,afp,sprech,berichtet,kilomet,gebiet,un,afrikan,krieg,schwer,tot,rot,ap,kongo,offensiv,vereint,konflikt,militar,afrika,aufstand,helf,tausend,nation,zivilist,gefecht,organisation,einheit,sudan,dorf,hilfsorganisation,provinz,kreuz,montag,bevolker,hundert,woch,tag,erklart,zair,waffenstillstand,ums,teilt,dienstag,zufolg,nah,rund,unterstutz,kam,flucht,nairobi,ost,heftig,sudlich,unterdess,waff,drei,verlass,humanitar,donnerstag,teil,gekomm,tamil,somalia,front,sri,verletzt,nachbarland,opf,hutu
 ,0.023,0.014,0.014,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic26,partei,wahl,parlament,stimm,mehrheit,regier,abgeordnet,kandidat,demokrat,opposition,gewahlt,konservativ,amt,ministerprasident,sitz,sozialdemokrat,abstimm,sozialist,sieg,regierungschef,koalition,link,wahlkampf,liberal,vorsitz,premi,parlamentswahl,kabinett,rucktritt,burg,neuwahl,recht,ergebnis,mandat,verfass,fruh,kommunist,stark,lag,niederlag,umfrag,osterreich,absolut,bisher,entscheid,gegn,fpo,stimmt,volkspartei,referendum,mitglied,minist,haid,amtszeit,kandidatur,anhang,wahlsieg,zweit,nachfolg,kommunalwahl,bewerb,knapp,mitt,burgermeist,ovp,christdemokrat,unterstutz,reform,vertret,regierungspartei,demokrati,verlor,gilt,erhielt,vier,wahlgang,spo,gewonn,unabhang,oppositionell,oppositionspartei,antret,fraktion,uberrasch,bundnis,parteichef,beid,kam,klar,wahlkreis,national,vorgezog,konnt,ex,chef,letzt,freiheit,stichwahl,wahlt,fuhr
 ,0.047,0.038,0.022,0.02,0.018,0.018,0.014,0.012,0.011,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic27,munch,frankfurt,koln,bayer,bay,rund,mess,hannov,munchn,leipzig,angab,veranstalt,ausstell,woch,verband,montag,sowi,dienstag,mittwoch,main,geschaftsfuhr,donnerstag,teilt,sprech,firm,international,insolvenz,berlin,zahl,insgesamt,statt,pleit,gesellschaft,sz,bericht,etwa,pressekonferenz,beim,konkur,eroffnet,finanziell,gestellt,hatt,eroffn,bau,besuch,glaubig,steh,laut,stellt,teil,erklart,steht,betroff,vorlauf,bekannt,grund,betrieb,quadratmet,end,expo,verein,bilanz,zufolg,lag,hall,grosst,veroffentlicht,erhalt,davon,dusseldorf,ebenfall,findet,gibt,freistaat,erwartet,dabei,drei,tag,geh,berichtet,bringt,knapp,gegang,angemeldet,geb,wirtschaft,derzeit,ab,geht,insolvenzverwalt,komm,schwierig,hiess,verfug,anlass,zusamm,gesichert,thema,bayern
